2019-05-24 12:38:08 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:08 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:09 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:09 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:10 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:10 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:11 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:11 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:12 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:12 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:13 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:   7,6; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 242.0; Tile: ROAD
2019-05-24 12:38:13 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   7,7; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 241.0; Tile: ROAD
2019-05-24 12:38:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   8,7; Parcels:      0; Health: 100.0; Health Usage: 100.0; Fuel: 240.0; Tile: ROAD
2019-05-24 12:38:14 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 101.3; Health Usage: 101.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:15 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 102.5; Health Usage: 102.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:15 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 103.8; Health Usage: 103.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:16 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 105.0; Health Usage: 105.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:16 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 106.3; Health Usage: 106.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:17 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 107.5; Health Usage: 107.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:17 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 108.8; Health Usage: 108.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:18 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 110.0; Health Usage: 110.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:18 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 111.3; Health Usage: 111.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:19 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 112.5; Health Usage: 112.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:19 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 113.8; Health Usage: 113.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:20 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 115.0; Health Usage: 115.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:20 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 116.3; Health Usage: 116.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:21 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 117.5; Health Usage: 117.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:21 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 118.8; Health Usage: 118.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:22 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 120.0; Health Usage: 120.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:22 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 121.3; Health Usage: 121.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:23 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 122.5; Health Usage: 122.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:23 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 123.8; Health Usage: 123.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:24 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 125.0; Health Usage: 125.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:24 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 126.3; Health Usage: 126.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:25 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 127.5; Health Usage: 127.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:25 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 128.8; Health Usage: 128.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:26 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 130.0; Health Usage: 130.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:26 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 131.3; Health Usage: 131.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:27 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 132.5; Health Usage: 132.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:27 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 133.8; Health Usage: 133.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:28 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 135.0; Health Usage: 135.0; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:28 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 136.3; Health Usage: 136.25; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:29 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 137.5; Health Usage: 137.5; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:29 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 138.8; Health Usage: 138.75; Fuel: 239.0; Tile: TRAP(health)
2019-05-24 12:38:30 INFO  Car - Speed:   0.0; Angle:   EAST; Position:   9,7; Parcels:      0; Health: 140.0; Health Usage: 140.0; Fuel: 239.0; Tile: TRAP(health)
